region_id,assemblage,n_grid_points,approx_area,is_minor,show_in_legend,has_internal_label,label_mode,numeric_id,label_text,color
R01,L + MgO,1605,3160.0,False,True,True,text,,L + MgO,#4C78A8
R02,L + MgO + Spinel,889,1776.0,False,True,True,text,,L + MgO + Spinel,#F58518
R03,L + Spinel,803,1604.0,False,True,True,text,,L + Spinel,#54A24B
R04,L + CaO + MgO,686,1372.0,False,True,True,text,,L + CaO + MgO,#E45756
R05,L,560,1118.0,False,True,True,text,,L,#B279A2
R06,L + CaO + HATRURITE + MgO,193,256.0,False,True,True,text,,L + CaO + HATRURITE + MgO,#FF9DA6
R07,L + Corundum + Spinel,78,154.0,False,True,True,number,1,L + Corundum + Spinel,#9D755D
R08,L + Corundum,61,118.0,False,True,True,number,2,L + Corundum,#BAB0AC
R09,L + CA8M2 + Spinel,30,58.0,False,True,True,number,3,L + CA8M2 + Spinel,#72B7B2
R10,L + CA6,26,50.0,False,True,True,number,4,L + CA6,#EECA3B
R11,L + CA8M2,17,32.0,False,True,True,number,5,L + CA8M2,#A0CBE8
R12,L + CA8M2 + Corundum,10,18.0,False,True,True,number,6,L + CA8M2 + Corundum,#FFBE7D
R13,L + CA6 + Corundum,8,14.0,True,False,True,number,7,L + CA6 + Corundum,#D9D9D9
R14,L + CA8M2 + Corundum + Spinel,8,14.0,True,False,True,number,8,L + CA8M2 + Corundum + Spinel,#D9D9D9
R15,L + C2A14M2 + CA6,4,6.0,True,False,True,number,9,L + C2A14M2 + CA6,#D9D9D9
R16,L + HATRURITE + MgO,8,4.0,True,False,True,number,10,L + HATRURITE + MgO,#D9D9D9
R17,L + C2A14M2 + Corundum,3,2.0,True,False,True,number,11,L + C2A14M2 + Corundum,#D9D9D9
R18,L + C2A14M2 + CA8M2,4,2.0,True,False,True,number,12,L + C2A14M2 + CA8M2,#D9D9D9
R19,L + C2A14M2 + CA6 + Corundum,2,2.0,True,False,True,number,13,L + C2A14M2 + CA6 + Corundum,#D9D9D9
