system,projected_L_area,centroid_CaO_star,centroid_MgO_star,centroid_Al2O3_star,delta_area_vs_base,centroid_shift_vs_base,overlap_area_vs_base,gained_area_vs_base,lost_area_vs_base
CAMA,0.020455836296009437,43.402549726204285,5.0875291226173065,51.5099211511784,0.0,0.0,0.020455836296009437,0.0,0.0
CAMA_5CAF2,0.030263616012372777,41.87470842324106,6.403204750138835,51.72208682662011,0.00980777971636334,0.014335821702522277,0.020455836296009437,0.00980777971636334,0.0
CAMA_5CAF2_1SIO2,0.03180993173873503,42.36391692980415,6.495510550786282,51.140572519409574,0.011354095442725594,0.012644343003130366,0.020455836296009437,0.011354095442725594,0.0
CAMA_5CAF2_5SIO2,0.03826027975265339,44.32663820767275,6.826929820315531,48.846431972011715,0.017804443456643955,0.023423950260656096,0.020455836296009437,0.017804443456643955,0.0
CAMA_5CAF2_10SIO2,0.047493996157617915,46.544514904206466,7.281183970933816,46.174301124859724,0.027038159861608478,0.04645046169769128,0.020455836296009437,0.027038159861608478,0.0
