system,liquid_field_area_xy,liquid_centroid_x,liquid_centroid_y,liquid_centroid_CaO_star,liquid_centroid_MgO_star,liquid_centroid_Al2O3_star,prev_system,area_difference_vs_prev
CAMA,0.020455836296009437,0.3084248969820651,0.44608900263853873,43.402549726204285,5.0875291226173065,51.5099211511784,,
CAMA_5CAF2,0.030263616012372777,0.3226424816344889,0.44792641128597466,41.87470842324106,6.403204750138835,51.72208682662011,CAMA,0.00980777971636334
CAMA_5CAF2_1SIO2,0.03180993173873503,0.3206579681049107,0.44289034965889046,42.36391692980415,6.495510550786282,51.140572519409574,CAMA_5CAF2,0.0015463157263622546
CAMA_5CAF2_5SIO2,0.03826027975265339,0.3125014580632139,0.42302250971990557,44.32663820767275,6.826929820315531,48.846431972011715,CAMA_5CAF2_1SIO2,0.006450348013918361
CAMA_5CAF2_10SIO2,0.047493996157617915,0.3036833453336368,0.399881177761209,46.544514904206466,7.281183970933816,46.174301124859724,CAMA_5CAF2_5SIO2,0.009233716404964523
