region_id,assemblage,n_grid_points,approx_area,is_minor,show_in_legend,has_internal_label,label_mode,numeric_id,label_text,color
R01,L + CaO + MgO,1552,2932.0,False,True,True,text,,L + CaO + MgO,#4C78A8
R02,L + MgO,1388,2763.0,False,True,True,text,,L + MgO,#F58518
R03,L + MgO + Spinel,922,1804.0,False,True,True,text,,L + MgO + Spinel,#54A24B
R04,L + Spinel,392,782.0,False,True,True,text,,L + Spinel,#E45756
R05,L,374,746.0,False,True,True,text,,L,#B279A2
R06,L + CA8M2 + Spinel,82,162.0,False,True,True,number,1,L + CA8M2 + Spinel,#FF9DA6
R07,L + CA2 + Spinel,45,88.0,False,True,True,number,2,L + CA2 + Spinel,#9D755D
R08,L + CA2,40,78.0,False,True,True,text,,L + CA2,#BAB0AC
R09,L + CA8M2 + Corundum + Spinel,37,72.0,False,True,True,number,3,L + CA8M2 + Corundum + Spinel,#72B7B2
R10,L + CA2 + CA8M2 + Spinel,22,42.0,False,True,True,number,4,L + CA2 + CA8M2 + Spinel,#EECA3B
R11,L + C2A14M2 + CA6,16,30.0,False,True,True,number,5,L + C2A14M2 + CA6,#A0CBE8
R12,L + CA2 + CA6,15,28.0,False,True,True,number,6,L + CA2 + CA6,#FFBE7D
R13,L + CA6 + Corundum,14,26.0,False,True,True,number,7,L + CA6 + Corundum,#8CD17D
R14,L + Corundum + Spinel,14,26.0,False,True,True,number,8,L + Corundum + Spinel,#B6992D
R15,L + C2A14M2 + CA8M2,13,24.0,False,True,True,number,9,L + C2A14M2 + CA8M2,#499894
R16,L + CA2 + CA8M2,11,20.0,False,True,True,number,10,L + CA2 + CA8M2,#4C78A8
R17,L + C2A14M2 + CA6 + Corundum,11,20.0,False,True,True,number,11,L + C2A14M2 + CA6 + Corundum,#F58518
R18,L + CA6,9,16.0,True,False,True,number,12,L + CA6,#D9D9D9
R19,L + C2A14M2 + CA2 + CA6,8,14.0,True,False,True,number,13,L + C2A14M2 + CA2 + CA6,#D9D9D9
R20,L + C2A14M2 + CA8M2 + Corundum,8,12.0,True,False,True,number,14,L + C2A14M2 + CA8M2 + Corundum,#D9D9D9
R21,L + Corundum,5,7.0,True,False,True,number,15,L + Corundum,#D9D9D9
R22,L + C2A14M2 + CA2 + CA8M2,5,6.0,True,False,True,number,16,L + C2A14M2 + CA2 + CA8M2,#D9D9D9
R23,L + CA8M2,5,6.0,True,False,True,number,17,L + CA8M2,#D9D9D9
R24,L + CA8M2 + Corundum,7,4.0,True,False,True,number,18,L + CA8M2 + Corundum,#D9D9D9
