region_id,assemblage,n_grid_points,approx_area,is_minor,show_in_legend,has_internal_label,color
R01,L + CaO + MgO,1487,2974.0,False,True,True,#4C78A8
R02,L + MgO + Spinel,1184,2365.0,False,True,True,#F58518
R03,L + MgO,1161,2316.0,False,True,True,#54A24B
R04,L,275,548.0,False,True,True,#E45756
R05,L + Spinel,248,494.0,False,True,True,#B279A2
R06,L + CA2 + Spinel,184,366.0,False,True,True,#FF9DA6
R07,CA2 + CA8M2 + Spinel,116,230.0,False,True,True,#9D755D
R08,MgO + Spinel,59,116.0,False,True,True,#BAB0AC
R09,CA8M2 + Corundum + Spinel,45,88.0,False,True,True,#72B7B2
R10,L + CA2,37,72.0,False,True,True,#EECA3B
R11,CA2 + Spinel,36,68.0,False,True,True,#A0CBE8
R12,C2A14M2 + CA2 + CA6,28,54.0,False,True,True,#FFBE7D
R13,C2A14M2 + CA2 + CA8M2,27,52.0,False,True,True,#8CD17D
R14,CA8M2 + Spinel,24,46.0,False,True,True,#B6992D
R15,C2A14M2 + CA6 + Corundum,19,36.0,False,True,True,#499894
R16,Corundum + Spinel,16,30.0,False,True,True,#4C78A8
R17,Spinel,15,28.0,False,True,True,#F58518
R18,C2A14M2 + CA8M2 + Corundum,16,26.0,False,True,True,#54A24B
R19,CA2 + CA6,14,13.0,False,True,True,#E45756
R20,CA6 + Corundum,8,7.0,True,False,False,#D9D9D9
